bill_id,version_type,url
HJRES6-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres6ih/xml/BILLS-115hjres6ih.xml
HJRES60-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres60ih/xml/BILLS-115hjres60ih.xml
HJRES61-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres61ih/xml/BILLS-115hjres61ih.xml
HJRES62-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres62ih/xml/BILLS-115hjres62ih.xml
HJRES63-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres63ih/xml/BILLS-115hjres63ih.xml
HJRES64-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres64ih/xml/BILLS-115hjres64ih.xml
HJRES65-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres65ih/xml/BILLS-115hjres65ih.xml
HJRES66-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres66enr/xml/BILLS-115hjres66enr.xml
HJRES66-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres66rds/xml/BILLS-115hjres66rds.xml
HJRES66-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres66eh/xml/BILLS-115hjres66eh.xml
HJRES66-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres66ih/xml/BILLS-115hjres66ih.xml
HJRES67-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres67enr/xml/BILLS-115hjres67enr.xml
HJRES67-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres67rds/xml/BILLS-115hjres67rds.xml
HJRES67-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres67eh/xml/BILLS-115hjres67eh.xml
HJRES67-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres67ih/xml/BILLS-115hjres67ih.xml
HJRES68-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres68ih/xml/BILLS-115hjres68ih.xml
HJRES69-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres69enr/xml/BILLS-115hjres69enr.xml
HJRES69-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres69rds/xml/BILLS-115hjres69rds.xml
HJRES69-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres69eh/xml/BILLS-115hjres69eh.xml
HJRES69-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres69ih/xml/BILLS-115hjres69ih.xml
HJRES7-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres7ih/xml/BILLS-115hjres7ih.xml
HJRES70-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres70ih/xml/BILLS-115hjres70ih.xml
HJRES71-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres71ih/xml/BILLS-115hjres71ih.xml
HJRES72-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres72ih/xml/BILLS-115hjres72ih.xml
HJRES73-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres73ih/xml/BILLS-115hjres73ih.xml
HJRES74-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres74ih/xml/BILLS-115hjres74ih.xml
HJRES75-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres75ih/xml/BILLS-115hjres75ih.xml
HJRES76-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres76enr/xml/BILLS-115hjres76enr.xml
HJRES76-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres76rds/xml/BILLS-115hjres76rds.xml
HJRES76-115,Placed on Calendar Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres76pcs/xml/BILLS-115hjres76pcs.xml
