bioguide_id,crp_id,cand_name,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt
G000563,N00031128,"Gibbs, Bob",2012,OH,R,H,2010,2012,1550088.19,1347805.92,234651.89,17500
L000575,N00031129,"Lankford, James",2012,OK,R,H,2010,2012,1155958.56,815426.72,429828.9,0
M001181,N00031134,"Meehan, Patrick",2012,PA,R,H,2010,2012,2589844.69,1627729.04,1007477.33,0
F000458,N00031141,"Fincher, Steve",2012,TN,R,H,2010,2012,2251745.71,911702.99,1449567.21,0
A000369,N00031177,"Amodei, Mark",2012,NV,R,H,2011,2012,1313852.15,1129925.9,188551.25,19000
B001275,N00031227,"Bucshon, Larry",2012,IN,R,H,2010,2012,1370641.38,1388671.8,88.85,11035.76
B001282,N00031233,"Barr, Andy",2012,,R, ,,2012,2221934.6,2211676.11,35754.82,18037.22
H001055,N00031244,"Heck, Joe",2012,NV,R,H,2010,2012,2423277.15,2346654.27,231236.32,75800
R000598,N00031253,"Rothfus, Keith J",2012,,R, ,,2012,1987085.42,1993454.78,16028.05,219173.74
H001060,N00031265,"Hurt, Robert",2012,VA,R,H,2010,2012,2051306.26,1980843.02,128896.03,0
G000567,N00031297,"Griffin, Tim",2012,AR,R,H,2010,2012,1619346.36,1659463.02,41371.46,0
D000610,N00031317,"Deutch, Ted",2012,FL,D,H,2010,2012,1264158.45,921298.24,471266.38,0
L000573,N00031377,"Labrador, Raul",2012,ID,R,H,2010,2012,830195.57,604719.06,250472.07,0
G000569,N00031401,"Grimm, Michael",2012,NY,R,H,2010,2012,2263993.57,2204597.94,88588.38,474487.11
M001182,N00031412,"Mulvaney, Mick",2012,SC,R,H,2010,2012,798055.27,692429.67,171682.05,138600
E000291,N00031513,"Ellmers, Renee",2012,NC,R,H,2010,2012,1086869.93,1190907.49,127730.53,44297.52
B001273,N00031539,"Black, Diane",2012,TN,R,H,2010,2012,2437229.66,2153237.88,319545.33,0
F000461,N00031545,"Flores, Bill",2012,TX,R,H,2010,2012,1301528.91,1059094.75,206122.19,538000
H001064,N00031557,"Heck, Dennis",2012,,D, ,,2012,2053753.65,2018841.66,57410.58,349000
H001056,N00031559,"Herrera Beutler, Jaime",2012,WA,R,H,2010,2012,1658722.02,1623136.4,55938.88,11843.42
D000612,N00031593,"Denham, Jeff",2012,CA,R,H,2010,2012,2756588.82,2647697.84,155472.27,5711.38
K000376,N00031647,"Kelly, Mike",2012,PA,R,H,2010,2012,1135644.35,1080095.09,36263.95,331995
F000460,N00031672,"Farenthold, Blake",2012,TX,R,H,2010,2012,1153105.4,1182936.31,1472.72,174570.73
M001180,N00031681,"McKinley, David",2012,WV,R,H,2010,2012,2136064.83,1251707.03,876672.87,415000
B001277,N00031685,"Blumenthal, Richard",2012,CT,D,S,2010,2016,9166289,9098323,67962,272876
H001061,N00031688,"Hoeven, John",2012,ND,R,S,2010,2016,4083424,3327775,755646,100000
L000577,N00031696,"Lee, Mike",2012,UT,R,S,2010,2016,2216161,2208676,5142,31864
R000592,N00031741,"Rokita, Todd",2012,IN,R,H,2010,2012,1321277.75,942938.74,673749.87,0
M001179,N00031777,"Marino, Tom",2012,PA,R,H,2010,2012,822419.53,815148.52,16455.37,0
C001088,N00031820,"Coons, Chris",2012,DE,D,S,2010,2016,4908419,4101557,806862,0
B001270,N00031877,"Bass, Karen",2012,CA,D,H,2010,2012,692988.53,803966.15,52384.92,3297.59
K000375,N00031933,"Keating, Bill",2012,MA,D,H,2010,2012,1061105.28,816180.03,248278.1,0
