bill_id,chamber,term,session,action,roll_number,url
HR152-113,Senate,113,1,PASSED SENATE,4,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00004
HR152-113,House,113,1,Passage of a Measure,23,http://clerk.house.gov/evs/2013/roll023.xml
HR1526-113,House,113,1,Passage of a Measure,483,http://clerk.house.gov/evs/2013/roll483.xml
HR1526-113,House,113,1,Motion to Commit/Recommit With Instructions Results,482,http://clerk.house.gov/evs/2013/roll482.xml
HR1542-113,House,113,1,Final Passage Under Suspension of the Rules Results,375,http://clerk.house.gov/evs/2013/roll375.xml
HR1564-113,House,113,1,Final Passage Under Suspension of the Rules Results,306,http://clerk.house.gov/evs/2013/roll306.xml
HR1580-113,House,113,1,Final Passage Under Suspension of the Rules Results,145,http://clerk.house.gov/evs/2013/roll145.xml
HR1582-113,House,113,1,Passage of a Measure,432,http://clerk.house.gov/evs/2013/roll432.xml
HR1582-113,House,113,1,Motion to Commit/Recommit With Instructions Results,431,http://clerk.house.gov/evs/2013/roll431.xml
HR1613-113,House,113,1,Passage of a Measure,293,http://clerk.house.gov/evs/2013/roll293.xml
HR1613-113,House,113,1,Motion to Commit/Recommit With Instructions Results,292,http://clerk.house.gov/evs/2013/roll292.xml
HR1671-113,House,113,2,Final Passage Under Suspension of the Rules Results,314,http://clerk.house.gov/evs/2014/roll314.xml
HR1765-113,House,113,1,Final Passage Under Suspension of the Rules Results,125,http://clerk.house.gov/evs/2013/roll125.xml
HR1791-113,House,113,2,Final Passage Under Suspension of the Rules Results,32,http://clerk.house.gov/evs/2014/roll032.xml
HR1797-113,House,113,1,Passage of a Measure,251,http://clerk.house.gov/evs/2013/roll251.xml
HR180-113,House,113,1,Final Passage Under Suspension of the Rules Results,144,http://clerk.house.gov/evs/2013/roll144.xml
HR1813-113,House,113,2,Final Passage Under Suspension of the Rules Results,137,http://clerk.house.gov/evs/2014/roll137.xml
HR1848-113,House,113,1,Final Passage Under Suspension of the Rules Results,355,http://clerk.house.gov/evs/2013/roll355.xml
HR185-113,House,113,1,Final Passage Under Suspension of the Rules Results,551,http://clerk.house.gov/evs/2013/roll551.xml
HR1864-113,House,113,1,Final Passage Under Suspension of the Rules Results,294,http://clerk.house.gov/evs/2013/roll294.xml
HR1871-113,House,113,2,Passage of a Measure,168,http://clerk.house.gov/evs/2014/roll168.xml
HR1871-113,House,113,2,Motion to Commit/Recommit With Instructions Results,167,http://clerk.house.gov/evs/2014/roll167.xml
HR1872-113,House,113,2,Passage of a Measure,166,http://clerk.house.gov/evs/2014/roll166.xml
HR1872-113,House,113,2,Motion to Commit/Recommit With Instructions Results,165,http://clerk.house.gov/evs/2014/roll165.xml
HR1874-113,House,113,2,Passage of a Measure,164,http://clerk.house.gov/evs/2014/roll164.xml
HR1874-113,House,113,2,Motion to Commit/Recommit With Instructions Results,163,http://clerk.house.gov/evs/2014/roll163.xml
HR1896-113,House,113,1,Final Passage Under Suspension of the Rules Results,252,http://clerk.house.gov/evs/2013/roll252.xml
HR1897-113,House,113,1,Final Passage Under Suspension of the Rules Results,435,http://clerk.house.gov/evs/2013/roll435.xml
HR1900-113,House,113,1,Passage of a Measure,611,http://clerk.house.gov/evs/2013/roll611.xml
HR1900-113,House,113,1,Motion to Commit/Recommit With Instructions Results,610,http://clerk.house.gov/evs/2013/roll610.xml
HR1911-113,House,113,1,Vote on House Agreeing to the Senate Action,426,http://clerk.house.gov/evs/2013/roll426.xml
HR1911-113,Senate,113,1,PASSED SENATE,185,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00185
HR1911-113,House,113,1,Passage of a Measure,183,http://clerk.house.gov/evs/2013/roll183.xml
HR1911-113,House,113,1,Motion to Commit/Recommit With Instructions Results,182,http://clerk.house.gov/evs/2013/roll182.xml
HR1944-113,House,113,2,Final Passage Under Suspension of the Rules Results,67,http://clerk.house.gov/evs/2014/roll067.xml
HR1947-113,House,113,1,Passage of a Measure,286,http://clerk.house.gov/evs/2013/roll286.xml
HR1947-113,House,113,1,Motion to Commit/Recommit With Instructions Results,285,http://clerk.house.gov/evs/2013/roll285.xml
HR1960-113,House,113,1,Passage of a Measure,244,http://clerk.house.gov/evs/2013/roll244.xml
HR1960-113,House,113,1,Motion to Commit/Recommit With Instructions Results,243,http://clerk.house.gov/evs/2013/roll243.xml
HR1961-113,House,113,1,Final Passage Under Suspension of the Rules Results,484,http://clerk.house.gov/evs/2013/roll484.xml
HR1965-113,House,113,1,Passage of a Measure,600,http://clerk.house.gov/evs/2013/roll600.xml
HR1965-113,House,113,1,Motion to Commit/Recommit With Instructions Results,599,http://clerk.house.gov/evs/2013/roll599.xml
HR1992-113,House,113,1,Final Passage Under Suspension of the Rules Results,636,http://clerk.house.gov/evs/2013/roll636.xml
HR2-113,House,113,2,Passage of a Measure,515,http://clerk.house.gov/evs/2014/roll515.xml
HR2-113,House,113,2,Motion to Commit/Recommit With Instructions Results,514,http://clerk.house.gov/evs/2014/roll514.xml
HR2009-113,House,113,1,Passage of a Measure,447,http://clerk.house.gov/evs/2013/roll447.xml
HR2009-113,House,113,1,Motion to Commit/Recommit With Instructions Results,446,http://clerk.house.gov/evs/2013/roll446.xml
HR2011-113,House,113,1,Final Passage Under Suspension of the Rules Results,562,http://clerk.house.gov/evs/2013/roll562.xml
HR2019-113,House,113,1,Final Passage Under Suspension of the Rules Results,632,http://clerk.house.gov/evs/2013/roll632.xml
HR2052-113,House,113,1,Final Passage Under Suspension of the Rules Results,448,http://clerk.house.gov/evs/2013/roll448.xml
HR2061-113,House,113,1,Final Passage Under Suspension of the Rules Results,588,http://clerk.house.gov/evs/2013/roll588.xml
HR2126-113,House,113,2,Final Passage Under Suspension of the Rules Results,98,http://clerk.house.gov/evs/2014/roll098.xml
HR2166-113,House,113,2,Final Passage Under Suspension of the Rules Results,24,http://clerk.house.gov/evs/2014/roll024.xml
HR2189-113,House,113,1,Final Passage Under Suspension of the Rules Results,561,http://clerk.house.gov/evs/2013/roll561.xml
HR219-113,House,113,1,Final Passage Under Suspension of the Rules Results,8,http://clerk.house.gov/evs/2013/roll008.xml
HR2203-113,House,113,2,Final Passage Under Suspension of the Rules Results,218,http://clerk.house.gov/evs/2014/roll218.xml
HR2216-113,House,113,1,Passage of a Measure,193,http://clerk.house.gov/evs/2013/roll193.xml
HR2216-113,House,113,1,Motion to Commit/Recommit With Instructions Results,192,http://clerk.house.gov/evs/2013/roll192.xml
HR2217-113,House,113,1,Passage of a Measure,211,http://clerk.house.gov/evs/2013/roll211.xml
HR2217-113,House,113,1,Motion to Commit/Recommit With Instructions Results,210,http://clerk.house.gov/evs/2013/roll210.xml
HR2218-113,House,113,1,Passage of a Measure,418,http://clerk.house.gov/evs/2013/roll418.xml
HR2218-113,House,113,1,Motion to Commit/Recommit With Instructions Results,417,http://clerk.house.gov/evs/2013/roll417.xml
HR2231-113,House,113,1,Passage of a Measure,304,http://clerk.house.gov/evs/2013/roll304.xml
HR2231-113,House,113,1,Motion to Commit/Recommit With Instructions Results,303,http://clerk.house.gov/evs/2013/roll303.xml
HR225-113,House,113,1,Final Passage Under Suspension of the Rules Results,31,http://clerk.house.gov/evs/2013/roll031.xml
HR2251-113,House,113,1,Final Passage Under Suspension of the Rules Results,496,http://clerk.house.gov/evs/2013/roll496.xml
HR2274-113,House,113,2,Final Passage Under Suspension of the Rules Results,14,http://clerk.house.gov/evs/2014/roll014.xml
HR2279-113,House,113,2,Passage of a Measure,10,http://clerk.house.gov/evs/2014/roll010.xml
HR2279-113,House,113,2,Motion to Commit/Recommit With Instructions Results,9,http://clerk.house.gov/evs/2014/roll009.xml
HR2319-113,House,113,1,Final Passage Under Suspension of the Rules Results,633,http://clerk.house.gov/evs/2013/roll633.xml
HR2366-113,House,113,2,Final Passage Under Suspension of the Rules Results,539,http://clerk.house.gov/evs/2014/roll539.xml
HR2374-113,House,113,1,Passage of a Measure,567,http://clerk.house.gov/evs/2013/roll567.xml
HR2374-113,House,113,1,Motion to Commit/Recommit With Instructions Results,566,http://clerk.house.gov/evs/2013/roll566.xml
HR2383-113,House,113,1,Final Passage Under Suspension of the Rules Results,287,http://clerk.house.gov/evs/2013/roll287.xml
HR2397-113,House,113,1,Passage of a Measure,414,http://clerk.house.gov/evs/2013/roll414.xml
HR2397-113,House,113,1,Motion to Commit/Recommit With Instructions Results,413,http://clerk.house.gov/evs/2013/roll413.xml
HR24-113,House,113,2,Final Passage Under Suspension of the Rules Results,504,http://clerk.house.gov/evs/2014/roll504.xml
HR2431-113,House,113,2,Final Passage Under Suspension of the Rules Results,55,http://clerk.house.gov/evs/2014/roll055.xml
HR2449-113,House,113,1,Final Passage Under Suspension of the Rules Results,461,http://clerk.house.gov/evs/2013/roll461.xml
HR249-113,House,113,1,Final Passage Under Suspension of the Rules Results,105,http://clerk.house.gov/evs/2013/roll105.xml
HR251-113,House,113,1,Final Passage Under Suspension of the Rules Results,212,http://clerk.house.gov/evs/2013/roll212.xml
HR253-113,House,113,1,Final Passage Under Suspension of the Rules Results,246,http://clerk.house.gov/evs/2013/roll246.xml
HR254-113,House,113,1,Final Passage Under Suspension of the Rules Results,90,http://clerk.house.gov/evs/2013/roll090.xml
HR2548-113,House,113,2,Final Passage Under Suspension of the Rules Results,208,http://clerk.house.gov/evs/2014/roll208.xml
HR255-113,House,113,1,Final Passage Under Suspension of the Rules Results,615,http://clerk.house.gov/evs/2013/roll615.xml
HR2575-113,House,113,2,Passage of a Measure,156,http://clerk.house.gov/evs/2014/roll156.xml
HR2575-113,House,113,2,Motion to Commit/Recommit With Instructions Results,155,http://clerk.house.gov/evs/2014/roll155.xml
HR2576-113,House,113,1,Final Passage Under Suspension of the Rules Results,354,http://clerk.house.gov/evs/2013/roll354.xml
HR258-113,House,113,1,Final Passage Under Suspension of the Rules Results,161,http://clerk.house.gov/evs/2013/roll161.xml
HR2600-113,House,113,1,Final Passage Under Suspension of the Rules Results,487,http://clerk.house.gov/evs/2013/roll487.xml
HR2609-113,House,113,1,Passage of a Measure,345,http://clerk.house.gov/evs/2013/roll345.xml
HR2609-113,House,113,1,Motion to Commit/Recommit With Instructions Results,344,http://clerk.house.gov/evs/2013/roll344.xml
HR2611-113,House,113,1,Final Passage Under Suspension of the Rules Results,356,http://clerk.house.gov/evs/2013/roll356.xml
HR2641-113,House,113,2,Passage of a Measure,113,http://clerk.house.gov/evs/2014/roll113.xml
HR2641-113,House,113,2,Motion to Commit/Recommit With Instructions Results,112,http://clerk.house.gov/evs/2014/roll112.xml
HR2642-113,Senate,113,2,CONFERENCE REPORT AGREED TO,21,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=2&vote=00021
HR2642-113,Senate,113,2,CLOTURE MOTION,20,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=2&vote=00020
HR2642-113,House,113,2,Placeholder Text for H42510,31,http://clerk.house.gov/evs/2014/roll031.xml
HR2642-113,House,113,1,Vote on House Agreeing to the Senate Action,546,http://clerk.house.gov/evs/2013/roll546.xml
HR2642-113,House,113,1,Passage of a Measure,353,http://clerk.house.gov/evs/2013/roll353.xml
HR2642-113,House,113,1,Motion to Commit/Recommit With Instructions Results,352,http://clerk.house.gov/evs/2013/roll352.xml
HR2642-113,House,113,1,Placeholder Text for H36810,351,http://clerk.house.gov/evs/2013/roll351.xml
HR2642-113,House,113,1,Placeholder Text for H36810,350,http://clerk.house.gov/evs/2013/roll350.xml
HR2655-113,House,113,1,Passage of a Measure,581,http://clerk.house.gov/evs/2013/roll581.xml
HR2655-113,House,113,1,Motion to Commit/Recommit With Instructions Results,580,http://clerk.house.gov/evs/2013/roll580.xml
HR2667-113,House,113,1,Passage of a Measure,361,http://clerk.house.gov/evs/2013/roll361.xml
HR2667-113,House,113,1,Motion to Commit/Recommit With Instructions Results,360,http://clerk.house.gov/evs/2013/roll360.xml
HR2668-113,House,113,1,Passage of a Measure,363,http://clerk.house.gov/evs/2013/roll363.xml
HR2668-113,House,113,1,Motion to Commit/Recommit With Instructions Results,362,http://clerk.house.gov/evs/2013/roll362.xml
HR267-113,House,113,1,Final Passage Under Suspension of the Rules Results,40,http://clerk.house.gov/evs/2013/roll040.xml
HR2678-113,House,113,2,Final Passage Under Suspension of the Rules Results,492,http://clerk.house.gov/evs/2014/roll492.xml
HR2719-113,House,113,2,Vote on House Agreeing to the Senate Action,559,http://clerk.house.gov/evs/2014/roll559.xml
HR2719-113,House,113,1,Final Passage Under Suspension of the Rules Results,616,http://clerk.house.gov/evs/2013/roll616.xml
HR272-113,House,113,1,Final Passage Under Suspension of the Rules Results,589,http://clerk.house.gov/evs/2013/roll589.xml
HR2728-113,House,113,1,Passage of a Measure,604,http://clerk.house.gov/evs/2013/roll604.xml
HR2728-113,House,113,1,Motion to Commit/Recommit With Instructions Results,603,http://clerk.house.gov/evs/2013/roll603.xml
HR273-113,House,113,1,Passage of a Measure,44,http://clerk.house.gov/evs/2013/roll044.xml
HR2747-113,House,113,1,Final Passage Under Suspension of the Rules Results,451,http://clerk.house.gov/evs/2013/roll451.xml
HR2775-113,House,113,1,Vote on House Agreeing to the Senate Action,550,http://clerk.house.gov/evs/2013/roll550.xml
HR2775-113,Senate,113,1,PASSED SENATE,219,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00219
HR2775-113,Senate,113,1,CLOTURE MOTION,218,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00218
HR2775-113,House,113,1,Passage of a Measure,458,http://clerk.house.gov/evs/2013/roll458.xml
HR2804-113,House,113,2,Passage of a Measure,78,http://clerk.house.gov/evs/2014/roll078.xml
HR2804-113,House,113,2,Motion to Commit/Recommit With Instructions Results,77,http://clerk.house.gov/evs/2014/roll077.xml
HR2824-113,House,113,2,Passage of a Measure,141,http://clerk.house.gov/evs/2014/roll141.xml
HR2824-113,House,113,2,Motion to Commit/Recommit With Instructions Results,140,http://clerk.house.gov/evs/2014/roll140.xml
HR2844-113,House,113,1,Final Passage Under Suspension of the Rules Results,449,http://clerk.house.gov/evs/2013/roll449.xml
HR2848-113,House,113,1,Final Passage Under Suspension of the Rules Results,500,http://clerk.house.gov/evs/2013/roll500.xml
HR2860-113,House,113,2,Final Passage Under Suspension of the Rules Results,17,http://clerk.house.gov/evs/2014/roll017.xml
HR2871-113,House,113,1,Final Passage Under Suspension of the Rules Results,571,http://clerk.house.gov/evs/2013/roll571.xml
